      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-03     6.30957E-04     9.50173E+02    -1.97561E+02
    1.00000E-03     7.94328E-04     9.23763E+02    -2.40224E+02
    1.00000E-03     1.00000E-03     8.85455E+02    -2.86922E+02
    1.00000E-03     1.25893E-03     8.32277E+02    -3.34128E+02
    1.00000E-03     1.58489E-03     7.62784E+02    -3.76100E+02
    1.00000E-03     1.99526E-03     6.78794E+02    -4.05756E+02
    1.00000E-03     2.51189E-03     5.86327E+02    -4.17071E+02
    1.00000E-03     3.16228E-03     4.94358E+02    -4.07965E+02
    1.00000E-03     3.98107E-03     4.11530E+02    -3.81485E+02
    1.00000E-03     5.01187E-03     3.43082E+02    -3.44207E+02
    1.00000E-03     6.30957E-03     2.89980E+02    -3.03249E+02
    1.00000E-03     7.94328E-03     2.50095E+02    -2.64037E+02
    1.00000E-03     1.00000E-02     2.19973E+02    -2.29584E+02
    1.00000E-03     1.25893E-02     1.96182E+02    -2.00798E+02
    1.00000E-03     1.58489E-02     1.76059E+02    -1.77163E+02
    1.00000E-03     1.99526E-02     1.57997E+02    -1.57470E+02
    1.00000E-03     2.51189E-02     1.41367E+02    -1.40478E+02
    1.00000E-03     3.16228E-02     1.26150E+02    -1.25353E+02
    1.00000E-03     3.98107E-02     1.12458E+02    -1.11732E+02
    1.00000E-03     5.01187E-02     1.00276E+02    -9.95034E+01
    1.00000E-03     6.30957E-02     8.94566E+01    -8.85835E+01
    1.00000E-03     7.94328E-02     7.98320E+01    -7.88473E+01
    1.00000E-03     1.00000E-01     7.12653E+01    -7.01603E+01
    1.00000E-03     1.25893E-01     6.36438E+01    -6.24042E+01
    1.00000E-03     1.58489E-01     5.68672E+01    -5.54764E+01
    1.00000E-03     1.99526E-01     5.08456E+01    -4.92852E+01
    1.00000E-03     2.51189E-01     4.54994E+01    -4.37486E+01
    1.00000E-03     3.16228E-01     4.07577E+01    -3.87936E+01
    1.00000E-03     3.98107E-01     3.65581E+01    -3.43547E+01
    1.00000E-03     5.01187E-01     3.28453E+01    -3.03737E+01
    1.00000E-03     6.30957E-01     2.95705E+01    -2.67986E+01
    1.00000E-03     7.94328E-01     2.66911E+01    -2.35832E+01
    1.00000E-03     1.00000E+00     2.41701E+01    -2.06868E+01
    1.00000E-03     1.25893E+00     2.19750E+01    -1.80735E+01
    1.00000E-03     1.58489E+00     2.00782E+01    -1.57125E+01
    1.00000E-03     1.99526E+00     1.84557E+01    -1.35781E+01
    1.00000E-03     2.51189E+00     1.70869E+01    -1.16495E+01
    1.00000E-03     3.16228E+00     1.59526E+01    -9.91145E+00
    1.00000E-03     3.98107E+00     1.50345E+01    -8.35376E+00
    1.00000E-03     5.01187E+00     1.43122E+01    -6.97051E+00
    1.00000E-03     6.30957E+00     1.37624E+01    -5.75804E+00
    1.00000E-03     7.94328E+00     1.33586E+01    -4.71203E+00
    1.00000E-03     1.00000E+01     1.30721E+01    -3.82494E+00
    1.00000E-03     1.25893E+01     1.28750E+01    -3.08477E+00
    1.00000E-03     1.58489E+01     1.27428E+01    -2.47574E+00
    1.00000E-03     1.99526E+01     1.26559E+01    -1.98006E+00
    1.00000E-03     2.51189E+01     1.25994E+01    -1.57986E+00
    1.00000E-03     3.16228E+01     1.25632E+01    -1.25855E+00
    1.00000E-03     3.98107E+01     1.25401E+01    -1.00154E+00
    1.00000E-03     5.01187E+01     1.25254E+01    -7.96490E-01
    1.00000E-03     6.30957E+01     1.25160E+01    -6.33146E-01
    1.00000E-03     7.94328E+01     1.25101E+01    -5.03163E-01
    1.00000E-03     1.00000E+02     1.25064E+01    -3.99796E-01
    1.00000E-03     1.25893E+02     1.25040E+01    -3.17629E-01
    1.00000E-03     1.58489E+02     1.25025E+01    -2.52332E-01
    1.00000E-03     1.99526E+02     1.25016E+01    -2.00449E-01
    1.00000E-03     2.51189E+02     1.25010E+01    -1.59230E-01
    1.00000E-03     3.16228E+02     1.25006E+01    -1.26485E-01
    1.00000E-03     3.98107E+02     1.25004E+01    -1.00472E-01
    1.00000E-03     5.01187E+02     1.25003E+01    -7.98089E-02
    1.00000E-03     6.30957E+02     1.25002E+01    -6.33949E-02
    1.00000E-03     7.94328E+02     1.25001E+01    -5.03566E-02
    1.00000E-03     1.00000E+03     1.25001E+01    -3.99998E-02
    1.00000E-03     1.25893E+03     1.25000E+01    -3.17730E-02
    1.00000E-03     1.58489E+03     1.25000E+01    -2.52382E-02
    1.00000E-03     1.99526E+03     1.25000E+01    -2.00475E-02
    1.00000E-03     2.51189E+03     1.25000E+01    -1.59243E-02
    1.00000E-03     3.16228E+03     1.25000E+01    -1.26491E-02
    1.00000E-03     3.98107E+03     1.25000E+01    -1.00475E-02
    1.00000E-03     5.01187E+03     1.25000E+01    -7.98105E-03
    1.00000E-03     6.30957E+03     1.25000E+01    -6.33957E-03
    1.00000E-03     7.94328E+03     1.25000E+01    -5.03570E-03
    1.00000E-03     1.00000E+04     1.25000E+01    -4.00000E-03
    1.00000E-03     1.25893E+04     1.25000E+01    -3.17731E-03
