      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-02     1.00000E+00     7.12612E+00    -6.99938E+00
    1.00000E-02     1.25893E+00     6.36897E+00    -6.23621E+00
    1.00000E-02     1.58489E+00     5.68876E+00    -5.54808E+00
    1.00000E-02     1.99526E+00     5.08474E+00    -4.92911E+00
    1.00000E-02     2.51189E+00     4.54981E+00    -4.37496E+00
    1.00000E-02     3.16228E+00     4.07575E+00    -3.87934E+00
    1.00000E-02     3.98107E+00     3.65581E+00    -3.43547E+00
    1.00000E-02     5.01187E+00     3.28453E+00    -3.03737E+00
    1.00000E-02     6.30957E+00     2.95705E+00    -2.67986E+00
    1.00000E-02     7.94328E+00     2.66911E+00    -2.35832E+00
    1.00000E-02     1.00000E+01     2.41701E+00    -2.06868E+00
    1.00000E-02     1.25893E+01     2.19750E+00    -1.80735E+00
    1.00000E-02     1.58489E+01     2.00782E+00    -1.57125E+00
    1.00000E-02     1.99526E+01     1.84557E+00    -1.35781E+00
    1.00000E-02     2.51189E+01     1.70869E+00    -1.16495E+00
    1.00000E-02     3.16228E+01     1.59526E+00    -9.91145E-01
    1.00000E-02     3.98107E+01     1.50345E+00    -8.35376E-01
    1.00000E-02     5.01187E+01     1.43122E+00    -6.97051E-01
    1.00000E-02     6.30957E+01     1.37624E+00    -5.75804E-01
    1.00000E-02     7.94328E+01     1.33586E+00    -4.71203E-01
    1.00000E-02     1.00000E+02     1.30721E+00    -3.82494E-01
    1.00000E-02     1.25893E+02     1.28750E+00    -3.08477E-01
    1.00000E-02     1.58489E+02     1.27428E+00    -2.47574E-01
    1.00000E-02     1.99526E+02     1.26559E+00    -1.98006E-01
    1.00000E-02     2.51189E+02     1.25994E+00    -1.57986E-01
    1.00000E-02     3.16228E+02     1.25632E+00    -1.25855E-01
    1.00000E-02     3.98107E+02     1.25401E+00    -1.00154E-01
    1.00000E-02     5.01187E+02     1.25254E+00    -7.96490E-02
    1.00000E-02     6.30957E+02     1.25160E+00    -6.33146E-02
    1.00000E-02     7.94328E+02     1.25101E+00    -5.03163E-02
    1.00000E-02     1.00000E+03     1.25064E+00    -3.99796E-02
    1.00000E-02     1.25893E+03     1.25040E+00    -3.17629E-02
    1.00000E-02     1.58489E+03     1.25025E+00    -2.52332E-02
    1.00000E-02     1.99526E+03     1.25016E+00    -2.00449E-02
    1.00000E-02     2.51189E+03     1.25010E+00    -1.59230E-02
    1.00000E-02     3.16228E+03     1.25006E+00    -1.26485E-02
    1.00000E-02     3.98107E+03     1.25004E+00    -1.00472E-02
    1.00000E-02     5.01187E+03     1.25003E+00    -7.98089E-03
    1.00000E-02     6.30957E+03     1.25002E+00    -6.33949E-03
    1.00000E-02     7.94328E+03     1.25001E+00    -5.03566E-03
    1.00000E-02     1.00000E+04     1.25001E+00    -3.99998E-03
    1.00000E-02     1.25893E+04     1.25000E+00    -3.17730E-03
    1.00000E-02     1.58489E+04     1.25000E+00    -2.52382E-03
    1.00000E-02     1.99526E+04     1.25000E+00    -2.00475E-03
    1.00000E-02     2.51189E+04     1.25000E+00    -1.59243E-03
    1.00000E-02     3.16228E+04     1.25000E+00    -1.26491E-03
    1.00000E-02     3.98107E+04     1.25000E+00    -1.00475E-03
    1.00000E-02     5.01187E+04     1.25000E+00    -7.98105E-04
    1.00000E-02     6.30957E+04     1.25000E+00    -6.33957E-04
    1.00000E-02     7.94328E+04     1.25000E+00    -5.03570E-04
    1.00000E-02     1.00000E+05     1.25000E+00    -4.00000E-04
    1.00000E-03     1.00000E-05     5.00000E+02    -4.16406E-01
    1.00000E-03     1.25893E-05     4.99999E+02    -5.24224E-01
    1.00000E-03     1.58489E-05     4.99999E+02    -6.59958E-01
    1.00000E-03     1.99526E-05     4.99998E+02    -8.30836E-01
    1.00000E-03     2.51189E-05     4.99997E+02    -1.04596E+00
    1.00000E-03     3.16228E-05     4.99996E+02    -1.31678E+00
    1.00000E-03     3.98107E-05     4.99993E+02    -1.65772E+00
    1.00000E-03     5.01187E-05     4.99990E+02    -2.08692E+00
    1.00000E-03     6.30957E-05     4.99983E+02    -2.62724E+00
    1.00000E-03     7.94328E-05     4.99974E+02    -3.30742E+00
