      Frequency        Position         Real(c)         Imag(c)
             Hz              um           mol/L           mol/L
   3.16228E+000    2.87500E-001   -1.98187E-001   -5.28898E-001
   3.16228E+000    3.12500E-001   -2.26492E-001   -4.58387E-001
   3.16228E+000    3.37500E-001   -2.45736E-001   -3.92353E-001
   3.16228E+000    3.62500E-001   -2.57226E-001   -3.31175E-001
   3.16228E+000    3.87500E-001   -2.62171E-001   -2.75081E-001
   3.16228E+000    4.12500E-001   -2.61678E-001   -2.24169E-001
   3.16228E+000    4.37500E-001   -2.56756E-001   -1.78429E-001
   3.16228E+000    4.62500E-001   -2.48306E-001   -1.37764E-001
   3.16228E+000    4.87500E-001   -2.37134E-001   -1.02006E-001
   3.16228E+000    5.12500E-001   -2.23946E-001   -7.09344E-002
   3.16228E+000    5.37500E-001   -2.09356E-001   -4.42894E-002
   3.16228E+000    5.62500E-001   -1.93891E-001   -2.17820E-002
   3.16228E+000    5.87500E-001   -1.77995E-001   -3.10680E-003
   3.16228E+000    6.12500E-001   -1.62037E-001    1.20505E-002
   3.16228E+000    6.37500E-001   -1.46318E-001    2.40053E-002
   3.16228E+000    6.62500E-001   -1.31073E-001    3.30682E-002
   3.16228E+000    6.87500E-001   -1.16482E-001    3.95405E-002
   3.16228E+000    7.12500E-001   -1.02672E-001    4.37106E-002
   3.16228E+000    7.37500E-001   -8.97267E-002    4.58515E-002
   3.16228E+000    7.62500E-001   -7.76871E-002    4.62191E-002
   3.16228E+000    7.87500E-001   -6.65610E-002    4.50512E-002
   3.16228E+000    8.12500E-001   -5.63254E-002    4.25677E-002
   3.16228E+000    8.37500E-001   -4.69310E-002    3.89711E-002
   3.16228E+000    8.62500E-001   -3.83069E-002    3.44469E-002
   3.16228E+000    8.87500E-001   -3.03636E-002    2.91655E-002
   3.16228E+000    9.12500E-001   -2.29967E-002    2.32841E-002
   3.16228E+000    9.37500E-001   -1.60900E-002    1.69482E-002
   3.16228E+000    9.62500E-001   -9.51827E-003    1.02942E-002
   3.16228E+000    9.87500E-001   -3.15001E-003    3.45216E-003
   3.16228E+000    1.00000E+000    0.00000E+000    0.00000E+000
   3.98107E+000    0.00000E+000    1.12458E+000   -1.11732E+000
   3.98107E+000    1.25000E-002    9.99583E-001   -1.11732E+000
   3.98107E+000    3.75000E-002    7.77384E-001   -1.09245E+000
   3.98107E+000    6.25000E-002    5.82367E-001   -1.04824E+000
   3.98107E+000    8.75000E-002    4.13431E-001   -9.89531E-001
   3.98107E+000    1.12500E-001    2.69117E-001   -9.20540E-001
   3.98107E+000    1.37500E-001    1.47708E-001   -8.44853E-001
   3.98107E+000    1.62500E-001    4.73198E-002   -7.65491E-001
   3.98107E+000    1.87500E-001   -3.40216E-002   -6.84951E-001
   3.98107E+000    2.12500E-001   -9.83202E-002   -6.05257E-001
   3.98107E+000    2.37500E-001   -1.47559E-001   -5.28010E-001
   3.98107E+000    2.62500E-001   -1.83660E-001   -4.54435E-001
   3.98107E+000    2.87500E-001   -2.08454E-001   -3.85429E-001
   3.98107E+000    3.12500E-001   -2.23658E-001   -3.21610E-001
   3.98107E+000    3.37500E-001   -2.30859E-001   -2.63357E-001
   3.98107E+000    3.62500E-001   -2.31508E-001   -2.10847E-001
   3.98107E+000    3.87500E-001   -2.26911E-001   -1.64097E-001
   3.98107E+000    4.12500E-001   -2.18230E-001   -1.22994E-001
   3.98107E+000    4.37500E-001   -2.06489E-001   -8.73201E-002
   3.98107E+000    4.62500E-001   -1.92576E-001   -5.67843E-002
   3.98107E+000    4.87500E-001   -1.77250E-001   -3.10401E-002
   3.98107E+000    5.12500E-001   -1.61151E-001   -9.70621E-003
   3.98107E+000    5.37500E-001   -1.44811E-001    7.61798E-003
   3.98107E+000    5.62500E-001   -1.28660E-001    2.13390E-002
   3.98107E+000    5.87500E-001   -1.13041E-001    3.18588E-002
   3.98107E+000    6.12500E-001   -9.82138E-002    3.95659E-002
   3.98107E+000    6.37500E-001   -8.43713E-002    4.48293E-002
   3.98107E+000    6.62500E-001   -7.16443E-002    4.79934E-002
   3.98107E+000    6.87500E-001   -6.01114E-002    4.93748E-002
   3.98107E+000    7.12500E-001   -4.98070E-002    4.92606E-002
   3.98107E+000    7.37500E-001   -4.07284E-002    4.79071E-002
   3.98107E+000    7.62500E-001   -3.28417E-002    4.55402E-002
   3.98107E+000    7.87500E-001   -2.60882E-002    4.23562E-002
   3.98107E+000    8.12500E-001   -2.03885E-002    3.85230E-002
   3.98107E+000    8.37500E-001   -1.56474E-002    3.41825E-002
   3.98107E+000    8.62500E-001   -1.17568E-002    2.94527E-002
   3.98107E+000    8.87500E-001   -8.59900E-003    2.44304E-002
   3.98107E+000    9.12500E-001   -6.04910E-003    1.91941E-002
