      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-02     1.25893E-03     3.33404E+01    -7.94608E+02
    1.00000E-02     1.58489E-03     3.33384E+01    -6.31309E+02
    1.00000E-02     1.99526E-03     3.33353E+01    -5.01630E+02
    1.00000E-02     2.51189E-03     3.33304E+01    -3.98665E+02
    1.00000E-02     3.16228E-03     3.33226E+01    -3.16929E+02
    1.00000E-02     3.98107E-03     3.33103E+01    -2.52071E+02
    1.00000E-02     5.01187E-03     3.32907E+01    -2.00636E+02
    1.00000E-02     6.30957E-03     3.32598E+01    -1.59885E+02
    1.00000E-02     7.94328E-03     3.32111E+01    -1.27646E+02
    1.00000E-02     1.00000E-02     3.31342E+01    -1.02200E+02
    1.00000E-02     1.25893E-02     3.30136E+01    -8.21867E+01
    1.00000E-02     1.58489E-02     3.28253E+01    -6.65328E+01
    1.00000E-02     1.99526E-02     3.25338E+01    -5.43876E+01
    1.00000E-02     2.51189E-02     3.20884E+01    -4.50731E+01
    1.00000E-02     3.16228E-02     3.14214E+01    -3.80371E+01
    1.00000E-02     3.98107E-02     3.04518E+01    -3.28091E+01
    1.00000E-02     5.01187E-02     2.91011E+01    -2.89605E+01
    1.00000E-02     6.30957E-02     2.73260E+01    -2.60788E+01
    1.00000E-02     7.94328E-02     2.51615E+01    -2.37737E+01
    1.00000E-02     1.00000E-01     2.27433E+01    -2.17231E+01
    1.00000E-02     1.25893E-01     2.02781E+01    -1.97341E+01
    1.00000E-02     1.58489E-01     1.79626E+01    -1.77625E+01
    1.00000E-02     1.99526E-01     1.59102E+01    -1.58642E+01
    1.00000E-02     2.51189E-01     1.41359E+01    -1.41142E+01
    1.00000E-02     3.16228E-01     1.25959E+01    -1.25513E+01
    1.00000E-02     3.98107E-01     1.12378E+01    -1.11710E+01
    1.00000E-02     5.01187E-01     1.00271E+01    -9.94789E+00
    1.00000E-02     6.30957E-01     8.94621E+00    -8.85800E+00
    1.00000E-02     7.94328E-01     7.98331E+00    -7.88484E+00
    1.00000E-02     1.00000E+00     7.12652E+00    -7.01605E+00
    1.00000E-02     1.25893E+00     6.36438E+00    -6.24042E+00
    1.00000E-02     1.58489E+00     5.68672E+00    -5.54764E+00
    1.00000E-02     1.99526E+00     5.08456E+00    -4.92852E+00
    1.00000E-02     2.51189E+00     4.54994E+00    -4.37486E+00
    1.00000E-02     3.16228E+00     4.07577E+00    -3.87936E+00
    1.00000E-02     3.98107E+00     3.65581E+00    -3.43547E+00
    1.00000E-02     5.01187E+00     3.28453E+00    -3.03737E+00
    1.00000E-02     6.30957E+00     2.95705E+00    -2.67986E+00
    1.00000E-02     7.94328E+00     2.66911E+00    -2.35832E+00
    1.00000E-02     1.00000E+01     2.41701E+00    -2.06868E+00
    1.00000E-02     1.25893E+01     2.19750E+00    -1.80735E+00
    1.00000E-02     1.58489E+01     2.00782E+00    -1.57125E+00
    1.00000E-02     1.99526E+01     1.84557E+00    -1.35781E+00
    1.00000E-02     2.51189E+01     1.70869E+00    -1.16495E+00
    1.00000E-02     3.16228E+01     1.59526E+00    -9.91145E-01
    1.00000E-02     3.98107E+01     1.50345E+00    -8.35376E-01
