      Frequency        Position         Real(c)         Imag(c)
             Hz              um           mol/L           mol/L
   6.30957E+000    4.12500E-001   -1.23679E-001   -5.28647E-003
   6.30957E+000    4.37500E-001   -1.07096E-001    1.04329E-002
   6.30957E+000    4.62500E-001   -9.09251E-002    2.19290E-002
   6.30957E+000    4.87500E-001   -7.56187E-002    2.98394E-002
   6.30957E+000    5.12500E-001   -6.14891E-002    3.47679E-002
   6.30957E+000    5.37500E-001   -4.87305E-002    3.72715E-002
   6.30957E+000    5.62500E-001   -3.74416E-002    3.78534E-002
   6.30957E+000    5.87500E-001   -2.76456E-002    3.69589E-002
   6.30957E+000    6.12500E-001   -1.93070E-002    3.49741E-002
   6.30957E+000    6.37500E-001   -1.23476E-002    3.22280E-002
   6.30957E+000    6.62500E-001   -6.65908E-003    2.89950E-002
   6.30957E+000    6.87500E-001   -2.11400E-003    2.54993E-002
   6.30957E+000    7.12500E-001    1.42552E-003    2.19203E-002
   6.30957E+000    7.37500E-001    4.10062E-003    1.83975E-002
   6.30957E+000    7.62500E-001    6.05022E-003    1.50364E-002
   6.30957E+000    7.87500E-001    7.40685E-003    1.19139E-002
   6.30957E+000    8.12500E-001    8.29367E-003    9.08350E-003
   6.30957E+000    8.37500E-001    8.82228E-003    6.58015E-003
   6.30957E+000    8.62500E-001    9.09140E-003    4.42470E-003
   6.30957E+000    8.87500E-001    9.18603E-003    2.62777E-003
   6.30957E+000    9.12500E-001    9.17704E-003    1.19309E-003
   6.30957E+000    9.37500E-001    9.12100E-003    1.20302E-004
   6.30957E+000    9.62500E-001    9.06021E-003   -5.92799E-004
   6.30957E+000    9.87500E-001    9.02280E-003   -9.48612E-004
   6.30957E+000    1.00000E+000    9.02280E-003   -9.48612E-004
   7.94328E+000    0.00000E+000    7.98331E-001   -7.88484E-001
   7.94328E+000    1.25000E-002    6.73331E-001   -7.88484E-001
   7.94328E+000    3.75000E-002    4.62475E-001   -7.55056E-001
   7.94328E+000    6.25000E-002    2.89105E-001   -6.98668E-001
   7.94328E+000    8.75000E-002    1.50421E-001   -6.27928E-001
   7.94328E+000    1.12500E-001    4.29102E-002   -5.49720E-001
   7.94328E+000    1.37500E-001   -3.73092E-002   -4.69381E-001
   7.94328E+000    1.62500E-001   -9.42261E-002   -3.90895E-001
   7.94328E+000    1.87500E-001   -1.31737E-001   -3.17087E-001
   7.94328E+000    2.12500E-001   -1.53505E-001   -2.49819E-001
   7.94328E+000    2.37500E-001   -1.62872E-001   -1.90171E-001
   7.94328E+000    2.62500E-001   -1.62797E-001   -1.38610E-001
   7.94328E+000    2.87500E-001   -1.55841E-001   -9.51303E-002
   7.94328E+000    3.12500E-001   -1.44162E-001   -5.93877E-002
   7.94328E+000    3.37500E-001   -1.29534E-001   -3.08021E-002
   7.94328E+000    3.62500E-001   -1.13378E-001   -8.64730E-003
   7.94328E+000    3.87500E-001   -9.67922E-002    7.87879E-003
   7.94328E+000    4.12500E-001   -8.05975E-002    1.95996E-002
   7.94328E+000    4.37500E-001   -6.53759E-002    2.73191E-002
   7.94328E+000    4.62500E-001   -5.15106E-002    3.17929E-002
   7.94328E+000    4.87500E-001   -3.92236E-002    3.37095E-002
   7.94328E+000    5.12500E-001   -2.86102E-002    3.36789E-002
   7.94328E+000    5.37500E-001   -1.96688E-002    3.22278E-002
   7.94328E+000    5.62500E-001   -1.23273E-002    2.98003E-002
   7.94328E+000    5.87500E-001   -6.46530E-003    2.67608E-002
   7.94328E+000    6.12500E-001   -1.93185E-003    2.34003E-002
   7.94328E+000    6.37500E-001    1.43989E-003    1.99439E-002
   7.94328E+000    6.62500E-001    3.82149E-003    1.65590E-002
   7.94328E+000    6.87500E-001    5.38102E-003    1.33638E-002
   7.94328E+000    7.12500E-001    6.27709E-003    1.04358E-002
   7.94328E+000    7.37500E-001    6.65507E-003    7.81939E-003
   7.94328E+000    7.62500E-001    6.64485E-003    5.53337E-003
   7.94328E+000    7.87500E-001    6.35992E-003    3.57724E-003
   7.94328E+000    8.12500E-001    5.89740E-003    1.93685E-003
   7.94328E+000    8.37500E-001    5.33873E-003    5.89245E-004
   7.94328E+000    8.62500E-001    4.75080E-003   -4.93320E-004
   7.94328E+000    8.87500E-001    4.18736E-003   -1.34003E-003
   7.94328E+000    9.12500E-001    3.69045E-003   -1.97885E-003
   7.94328E+000    9.37500E-001    3.29178E-003   -2.43447E-003
   7.94328E+000    9.62500E-001    3.01397E-003   -2.72665E-003
   7.94328E+000    9.87500E-001    2.87153E-003   -2.86921E-003
   7.94328E+000    1.00000E+000    2.87153E-003   -2.86921E-003
   1.00000E+001    0.00000E+000    7.12652E-001   -7.01605E-001
   1.00000E+001    1.25000E-002    5.87652E-001   -7.01605E-001
   1.00000E+001    3.75000E-002    3.81502E-001   -6.64877E-001
   1.00000E+001    6.25000E-002    2.16907E-001   -6.04305E-001
   1.00000E+001    8.75000E-002    9.00812E-002   -5.30176E-001
   1.00000E+001    1.12500E-001   -3.60858E-003   -4.50417E-001
   1.00000E+001    1.37500E-001   -6.91473E-002   -3.70884E-001
   1.00000E+001    1.62500E-001   -1.11506E-001   -2.95672E-001
   1.00000E+001    1.87500E-001   -1.35385E-001   -2.27430E-001
   1.00000E+001    2.12500E-001   -1.45049E-001   -1.67649E-001
   1.00000E+001    2.37500E-001   -1.44236E-001   -1.16934E-001
   1.00000E+001    2.62500E-001   -1.36114E-001   -7.52329E-002
   1.00000E+001    2.87500E-001   -1.23290E-001   -4.20394E-002
   1.00000E+001    3.12500E-001   -1.07838E-001   -1.65515E-002
   1.00000E+001    3.37500E-001   -9.13526E-002    2.19656E-003
   1.00000E+001    3.62500E-001   -7.50041E-002    1.52350E-002
   1.00000E+001    3.87500E-001   -5.96077E-002    2.35858E-002
   1.00000E+001    4.12500E-001   -4.56854E-002    2.82110E-002
   1.00000E+001    4.37500E-001   -3.35264E-002    2.99809E-002
   1.00000E+001    4.62500E-001   -2.32411E-002    2.96554E-002
   1.00000E+001    4.87500E-001   -1.48093E-002    2.78774E-002
   1.00000E+001    5.12500E-001   -8.11980E-003    2.51737E-002
   1.00000E+001    5.37500E-001   -3.00368E-003    2.19626E-002
   1.00000E+001    5.62500E-001    7.39771E-004    1.85637E-002
   1.00000E+001    5.87500E-001    3.32299E-003    1.52111E-002
   1.00000E+001    6.12500E-001    4.95552E-003    1.20662E-002
   1.00000E+001    6.37500E-001    5.83391E-003    9.23097E-003
