 Iter      Position             C_O2             C_OH             C_Na             C_Cl              Phi            C_H2O
    #            η            mol/L            mol/L            mol/L            mol/L            Volts            mol/L
    1       0.12000   8.12272558E-04   3.12395932E-03   9.99990438E-01   9.96866479E-01   5.20108934E-03   5.34992069E+01
    1       0.18000  -3.14071234E-05   5.12055086E-05   9.99850333E-01   9.99799127E-01   7.99766694E-03   5.35003307E+01
    1       0.24000  -1.60083117E-04  -9.78060887E-04   1.00029725E+00   1.00127532E+00   1.27800231E-03   5.34995656E+01
    1       0.30000   1.53975152E-05  -1.91597543E-05   9.99999716E-01   1.00001888E+00   2.51018867E-03   5.34999852E+01
    1       0.36000   1.79231842E-05   5.13019029E-06   9.99999346E-01   9.99994216E-01   1.03227797E-04   5.34999834E+01
    1       0.42000   1.15357530E-04  -1.51851958E-05   9.99950213E-01   9.99965398E-01   1.35424489E-04   5.34999842E+01
    1       0.48000   1.14917714E-05   9.67752684E-06   9.99999190E-01   9.99989512E-01   9.64779893E-05   5.34999901E+01
    1       0.54000   2.66899321E-05  -1.15582893E-05   9.99995695E-01   1.00000725E+00   1.32280956E-04   5.34999819E+01
    1       0.60000   1.55351023E-05   1.33453903E-05   9.99997708E-01   9.99984363E-01   9.52429660E-05   5.34999890E+01
    1       0.66000   2.63660905E-05  -7.63030455E-06   9.99997253E-01   1.00000488E+00   1.31251559E-04   5.34999791E+01
    1       0.72000   1.99220284E-05   1.70503546E-05   9.99996057E-01   9.99979006E-01   9.15425537E-05   5.34999880E+01
    1       0.78000   2.50590221E-05  -3.92944460E-06   9.99999739E-01   1.00000367E+00   1.31484860E-04   5.34999755E+01
    1       0.84000   2.53346861E-05   2.07410507E-05   9.99994886E-01   9.99974145E-01   9.01118101E-05   5.34999849E+01
    1       0.90000   2.05857469E-05   3.82961437E-07   1.00000398E+00   1.00000360E+00   1.33107892E-04   5.34999715E+01
    1       0.96000   3.21508887E-05   2.36965644E-05   9.99991685E-01   9.99967988E-01   8.61728727E-05   5.34999845E+01
    1       1.02000   1.83081467E-05   4.25963473E-06   1.00000779E+00   1.00000353E+00   1.33883954E-04   5.34999661E+01
    1       1.08000   3.99241818E-05   2.70571715E-05   9.99991067E-01   9.99964009E-01   8.12143199E-05   5.34999779E+01
    1       1.14000   1.91703696E-05   8.09742672E-06   1.00001017E+00   1.00000207E+00   1.33726816E-04   5.34999605E+01
    1       1.20000   4.77540664E-05   2.95789642E-05   9.99990715E-01   9.99961136E-01   7.59319844E-05   5.34999708E+01
    1       1.26000   2.08624496E-05   1.15715987E-05   1.00001228E+00   1.00000071E+00   1.67212062E-04   5.34999546E+01
    1       1.32000   5.74372512E-05   3.18147275E-05   9.99986389E-01   9.99954574E-01   6.84263920E-05   5.34999698E+01
    1       1.38000  -7.78726520E-07   1.48854975E-05   1.00002682E+00   1.00001194E+00   1.67249566E-04   5.34999471E+01
    1       1.44000   7.82759793E-05   3.94200764E-05   9.99995468E-01   9.99956048E-01   5.38010762E-05   5.34999308E+01
    1       1.50000   5.67037155E-06   1.87646571E-05   1.00002394E+00   1.00000518E+00   1.19952093E-04   5.34999464E+01
    1       1.56000   7.10121140E-05   2.40670959E-05   1.00000392E+00   9.99979855E-01   1.09860065E-05   5.34999211E+01
    1       1.62000   6.70785431E-05   1.98930102E-05   9.99990897E-01   9.99971004E-01   8.19308038E-05   5.34999511E+01
    1       1.68000   6.64024878E-05   2.52631609E-05   1.00000481E+00   9.99979551E-01   9.37481910E-06   5.34999240E+01
    1       1.74000   5.14797373E-05   2.08856982E-05   9.99997669E-01   9.99976783E-01   8.03168838E-05   5.34999532E+01
    1       1.80000   6.91389104E-05   2.61849635E-05   1.00000209E+00   9.99975906E-01   8.49572763E-06   5.34999267E+01
    1       1.86000   7.31060912E-05   2.17400787E-05   9.99987527E-01   9.99965787E-01   7.73117858E-05   5.34999518E+01
    1       1.92000   6.40786118E-05   2.69083802E-05   1.00000457E+00   9.99977664E-01   7.73908739E-06   5.34999268E+01
    1       1.98000   6.43342451E-05   2.24642540E-05   9.99993246E-01   9.99970782E-01   7.72086853E-05   5.34999492E+01
    1       2.04000   6.46428198E-05   2.75140902E-05   1.00000429E+00   9.99976780E-01   7.04896380E-06   5.34999268E+01
    1       2.10000   6.40018691E-05   2.30720550E-05   9.99995713E-01   9.99972641E-01   7.83904143E-05   5.34999446E+01
    1       2.16000   6.73720577E-05   2.83451854E-05   1.00000412E+00   9.99975771E-01   5.59059705E-06   5.34999244E+01
    1       2.22000   7.56550229E-05   2.35890282E-05   9.99992684E-01   9.99969095E-01   7.98515206E-05   5.34999390E+01
    1       2.28000   6.52665833E-05   2.81800676E-05   1.00000464E+00   9.99976465E-01   6.54101057E-06   5.34999254E+01
    1       2.34000   8.09465502E-05   2.40006103E-05   9.99993922E-01   9.99969922E-01   7.90867358E-05   5.34999312E+01
    1       2.40000   6.29275719E-05   2.89553797E-05   1.00000593E+00   9.99976978E-01   1.95021520E-06   5.34999252E+01
    1       2.46000   6.61266294E-05   2.43460915E-05   1.00000619E+00   9.99981841E-01   7.75542407E-05   5.34999215E+01
    1       2.52000   7.14176363E-05   3.02603596E-05   1.00000750E+00   9.99977236E-01  -1.70407475E-06   5.34999136E+01
    1       2.58000   6.35065815E-05   2.46467618E-05   1.00001009E+00   9.99985442E-01   7.45614682E-05   5.34999163E+01
    1       2.64000   7.57803453E-05   2.73801427E-05   1.00000556E+00   9.99978180E-01   6.35873565E-06   5.34999131E+01
    1       2.70000   7.95970003E-05   2.48477109E-05   1.00000527E+00   9.99980421E-01   7.28984987E-05   5.34999099E+01
    1       2.76000   7.97993628E-05   2.76837588E-05   1.00000633E+00   9.99978645E-01   5.44385825E-06   5.34999075E+01
    1       2.82000   8.39399171E-05   2.50075516E-05   1.00000563E+00   9.99980623E-01   7.29192866E-05   5.34999048E+01
    1       2.88000   8.32244976E-05   2.79157913E-05   1.00000704E+00   9.99979126E-01   4.65776549E-06   5.34999027E+01
    1       2.94000   9.02094735E-05   2.51333574E-05   1.00000454E+00   9.99979409E-01   7.34478733E-05   5.34999007E+01
    1       3.00000   8.47193557E-05   2.78884944E-05   1.00000819E+00   9.99980301E-01   4.61952657E-06   5.34998989E+01
    1       3.06000   8.86640820E-05   2.52301623E-05   1.00000709E+00   9.99981855E-01   7.13486050E-05   5.34998972E+01
    1       3.12000   8.99052870E-05   2.80855242E-05   1.00000770E+00   9.99979612E-01   3.80294777E-06   5.34998947E+01
    1       3.18000   9.14465787E-05   2.53051824E-05   1.00000738E+00   9.99982075E-01   7.36149296E-05   5.34998938E+01
    1       3.24000   9.56023784E-05   2.79749222E-05   1.00000655E+00   9.99978576E-01   3.66288727E-06   5.34998913E+01
    1       3.30000   9.63807070E-05   2.53620690E-05   1.00000683E+00   9.99981471E-01   7.47099914E-05   5.34998900E+01
    1       3.36000   1.00255617E-04   2.79084149E-05   1.00000599E+00   9.99978083E-01   3.32950042E-06   5.34998878E+01
    1       3.42000   1.01156594E-04   2.54051997E-05   1.00000647E+00   9.99981060E-01   7.37176495E-05   5.34998859E+01
    1       3.48000   1.04062898E-04   2.79543185E-05   1.00000605E+00   9.99978095E-01   2.63559810E-06   5.34998838E+01
    1       3.54000   1.05607171E-04   2.54382702E-05   1.00000613E+00   9.99980690E-01   7.05681955E-05   5.34998821E+01
    1       3.60000   1.07182393E-04   2.79815543E-05   1.00000635E+00   9.99978373E-01   2.19798418E-06   5.34998801E+01
    1       3.66000   1.11391534E-04   2.54640588E-05   1.00000502E+00   9.99979551E-01   7.07727521E-05   5.34998786E+01
    1       3.72000   1.08426237E-04   2.78815912E-05   1.00000740E+00   9.99979516E-01   1.84769803E-06   5.34998768E+01
    1       3.78000   1.14017095E-04   2.54848111E-05   1.00000535E+00   9.99979863E-01   6.78811649E-05   5.34998753E+01
    1       3.84000   1.10546645E-04   2.78094463E-05   1.00000804E+00   9.99980228E-01   1.58747508E-06   5.34998734E+01
    1       3.90000   1.15700120E-04   2.55026894E-05   1.00000608E+00   9.99980577E-01   6.47529376E-05   5.34998721E+01
    1       3.96000   1.14378523E-04   2.78272607E-05   1.00000801E+00   9.99980184E-01   1.33130242E-06   5.34998696E+01
    1       4.02000   1.15706843E-04   2.55197509E-05   1.00000758E+00   9.99982057E-01   6.41180299E-05   5.34998691E+01
    1       4.08000   1.21544203E-04   2.77854647E-05   1.00000623E+00   9.99978446E-01   1.33098370E-06   5.34998660E+01
    1       4.14000   1.22226174E-04   2.55380476E-05   1.00000620E+00   9.99980660E-01   6.45587280E-05   5.34998654E+01
    1       4.20000   1.25913175E-04   2.77466460E-05   1.00000591E+00   9.99978161E-01   1.11415824E-06   5.34998623E+01
    1       4.26000   1.26468857E-04   2.55600154E-05   1.00000596E+00   9.99980396E-01   6.35023105E-05   5.34998616E+01
    1       4.32000   1.29637376E-04   2.76779357E-05   1.00000579E+00   9.99978116E-01   9.89296874E-07   5.34998588E+01
    1       4.38000   1.32403825E-04   2.55888006E-05   1.00000492E+00   9.99979333E-01   6.26024843E-05   5.34998578E+01
    1       4.44000   1.31057350E-04   2.76523132E-05   1.00000705E+00   9.99979395E-01   7.95006273E-07   5.34998548E+01
    1       4.50000   1.31914092E-04   2.56288206E-05   1.00000661E+00   9.99980984E-01   4.63127558E-05   5.34998549E+01
    1       4.56000   1.36678319E-04   2.75596769E-05   1.00000589E+00   9.99978334E-01   1.17677235E-06   5.34998515E+01
    1       4.62000   1.37102165E-04   2.56865656E-05   1.00000588E+00   9.99980189E-01   4.45818993E-05   5.34998511E+01
    1       4.68000   1.40597258E-04   2.74472065E-05   1.00000564E+00   9.99978197E-01   1.64627716E-06   5.34998481E+01
    1       4.74000   1.41181746E-04   2.57719237E-05   1.00000581E+00   9.99980043E-01   4.29102661E-05   5.34998472E+01
    1       4.80000   1.44047835E-04   2.73793562E-05   1.00000566E+00   9.99978283E-01   1.65349701E-06   5.34998446E+01
    1       4.86000   1.45303372E-04   2.59002683E-05   1.00000578E+00   9.99979876E-01   5.07282440E-05   5.34998431E+01
    1       4.92000   1.46888003E-04   2.72490037E-05   1.00000593E+00   9.99978679E-01   1.25990383E-06   5.34998413E+01
    1       4.98000   1.49485398E-04   2.60958548E-05   1.00000573E+00   9.99979632E-01   4.87760948E-05   5.34998391E+01
    1       5.04000   1.49076011E-04   2.70450857E-05   1.00000656E+00   9.99979516E-01   9.78391013E-07   5.34998378E+01
    1       5.10000   1.51371820E-04   2.63974254E-05   1.00000667E+00   9.99980276E-01   5.22058419E-05   5.34998353E+01
    1       5.16000   1.53278907E-04   2.67166979E-05   1.00000615E+00   9.99979430E-01   9.27298580E-07   5.34998344E+01
    1       5.22000   1.55653667E-04   2.68675155E-05   1.00000657E+00   9.99979702E-01   4.92218077E-05   5.34998312E+01
    1       5.28000   1.56638400E-04   2.61679325E-05   1.00000610E+00   9.99979933E-01   9.43366448E-07   5.34998312E+01
    1       5.34000   1.59081597E-04   2.76080687E-05   1.00000692E+00   9.99979313E-01   5.28472939E-05   5.34998271E+01
    1       5.40000   1.60223397E-04   2.52732355E-05   1.00000577E+00   9.99980495E-01   7.41200639E-07   5.34998282E+01
    1       5.46000   1.64648211E-04   2.87868723E-05   1.00000641E+00   9.99977627E-01   5.60063172E-05   5.34998225E+01
    1       5.52000   1.61342092E-04   2.37973688E-05   1.00000663E+00   9.99982833E-01   4.76654565E-07   5.34998254E+01
    1       5.58000   1.65365623E-04   3.06827157E-05   1.00000801E+00   9.99977325E-01   5.09754846E-05   5.34998186E+01
    1       5.64000   1.66186173E-04   2.12944940E-05   1.00000527E+00   9.99983976E-01   7.48469394E-07   5.34998233E+01
    1       5.70000   1.66634716E-04   3.37632193E-05   1.00000976E+00   9.99975994E-01   4.52692959E-05   5.34998139E+01
    1       5.76000   1.74028397E-04   1.73617738E-05   1.00000259E+00   9.99985223E-01   7.98684515E-07   5.34998208E+01
    1       5.82000   1.71511931E-04   3.88201705E-05   1.00000977E+00   9.99970953E-01   5.67589387E-05   5.34998089E+01
    1       5.88000   1.80167792E-04   1.08541255E-05   1.00000175E+00   9.99990897E-01   4.81326888E-07   5.34998163E+01
    1       5.94000   1.65045090E-04   4.72069664E-05   1.00001247E+00   9.99965264E-01   5.73062733E-05   5.34998100E+01
    1       6.00000   2.00000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998000E+01
    2       0.00000   0.00000000E+00   2.62714489E-03   1.00136942E+00   9.98742273E-01  -1.75048622E-01   5.34972612E+01
