        Time         Position             C_O2             C_OH             C_Na             C_Cl              Phi         Velocity               Xi             Zeta
       hours               cm          mol/cm3          mol/cm3          mol/cm3          mol/cm3            Volts             cm/s                                  
     0.00000   5.67820000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -6.23286219E-02   1.80682318E+00   4.10875264E-01
     0.00000   5.80580000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -6.51613834E-02   1.84742595E+00   4.20108416E-01
     0.00000   5.93340000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -6.80570951E-02   1.88802871E+00   4.29341568E-01
     0.00000   6.06100000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -7.10157572E-02   1.92863148E+00   4.38574720E-01
     0.00000   6.18860000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -7.40373694E-02   1.96923425E+00   4.47807872E-01
     0.00000   6.31620000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -7.71219320E-02   2.00983702E+00   4.57041024E-01
     0.00000   6.44380000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -8.02694447E-02   2.05043979E+00   4.66274176E-01
     0.00000   6.57140000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -8.34799078E-02   2.09104255E+00   4.75507328E-01
     0.00000   6.69900000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -8.67533211E-02   2.13164532E+00   4.84740480E-01
     0.00000   6.82660000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -9.00896846E-02   2.17224809E+00   4.93973632E-01
     0.00000   6.95420000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -9.34889984E-02   2.21285086E+00   5.03206784E-01
     0.00000   7.08180000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -9.69512625E-02   2.25345363E+00   5.12439936E-01
     0.00000   7.20940000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.00476477E-01   2.29405640E+00   5.21673088E-01
     0.00000   7.33700000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.04064641E-01   2.33465916E+00   5.30906240E-01
     0.00000   7.46460000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.07715756E-01   2.37526193E+00   5.40139392E-01
     0.00000   7.59220000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.11429821E-01   2.41586470E+00   5.49372544E-01
     0.00000   7.71980000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.15206837E-01   2.45646747E+00   5.58605696E-01
     0.00000   7.84740000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.19046802E-01   2.49707024E+00   5.67838849E-01
     0.00000   7.97500000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.22949718E-01   2.53767300E+00   5.77072001E-01
     0.00000   8.10260000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.26915584E-01   2.57827577E+00   5.86305153E-01
     0.00000   8.23020000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.30944401E-01   2.61887854E+00   5.95538305E-01
     0.00000   8.35780000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.35036167E-01   2.65948131E+00   6.04771457E-01
     0.00000   8.48540000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.39190884E-01   2.70008408E+00   6.14004609E-01
     0.00000   8.61300000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.43408551E-01   2.74068684E+00   6.23237761E-01
     0.00000   8.74060000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.47689169E-01   2.78128961E+00   6.32470913E-01
     0.00000   8.86820000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.52032736E-01   2.82189238E+00   6.41704065E-01
     0.00000   8.99580000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.56439254E-01   2.86249515E+00   6.50937217E-01
     0.00000   9.12340000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.60908722E-01   2.90309792E+00   6.60170369E-01
     0.00000   9.25100000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.65441141E-01   2.94370068E+00   6.69403521E-01
     0.00000   9.37860000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.70036509E-01   2.98430345E+00   6.78636673E-01
     0.00000   9.50620000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.74694828E-01   3.02490622E+00   6.87869825E-01
     0.00000   9.63380000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.79416097E-01   3.06550899E+00   6.97102977E-01
     0.00000   9.76140000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.84200317E-01   3.10611176E+00   7.06336129E-01
     0.00000   9.88900000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.89047487E-01   3.14671452E+00   7.15569281E-01
     0.00000   1.00166000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.93957606E-01   3.18731729E+00   7.24802433E-01
     0.00000   1.01442000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.98930677E-01   3.22792006E+00   7.34035585E-01
     0.00000   1.02718000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.03966697E-01   3.26852283E+00   7.43268737E-01
     0.00000   1.03994000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.09065668E-01   3.30912560E+00   7.52501889E-01
     0.00000   1.05270000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.14227589E-01   3.34972836E+00   7.61735041E-01
     0.00000   1.06546000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.19452460E-01   3.39033113E+00   7.70968193E-01
     0.00000   1.07822000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.24740281E-01   3.43093390E+00   7.80201345E-01
