State         Time     Position         c_LiPF6            Φ_2
  CDR        hours           um          mol/mL               V
  D        0.00278      0.87500    1.00000E-003    4.40762E-003
  D        0.00278      0.92500    9.99993E-004    2.85629E-003
  D        0.00278      0.97500    9.98846E-004    1.29327E-003
  D        0.00278      1.00000    9.48540E-004    0.00000E+000
  D        0.00306      0.00000    1.05331E-003    3.20611E-002
  D        0.00306      0.02500    1.00127E-003    3.07923E-002
  D        0.00306      0.07500    1.00001E-003    2.92289E-002
  D        0.00306      0.12500    1.00000E-003    2.76776E-002
  D        0.00306      0.17500    1.00000E-003    2.61263E-002
  D        0.00306      0.22500    1.00000E-003    2.45751E-002
  D        0.00306      0.27500    1.00000E-003    2.30238E-002
  D        0.00306      0.32500    1.00000E-003    2.14726E-002
  D        0.00306      0.37500    1.00000E-003    1.99213E-002
  D        0.00306      0.42500    1.00000E-003    1.83701E-002
  D        0.00306      0.47500    1.00000E-003    1.68188E-002
  D        0.00306      0.52500    1.00000E-003    1.52676E-002
  D        0.00306      0.57500    1.00000E-003    1.37163E-002
  D        0.00306      0.62500    1.00000E-003    1.21651E-002
  D        0.00306      0.67500    1.00000E-003    1.06138E-002
  D        0.00306      0.72500    1.00000E-003    9.06260E-003
  D        0.00306      0.77500    1.00000E-003    7.51135E-003
  D        0.00306      0.82500    1.00000E-003    5.96010E-003
  D        0.00306      0.87500    1.00000E-003    4.40885E-003
  D        0.00306      0.92500    9.99991E-004    2.85751E-003
  D        0.00306      0.97500    9.98732E-004    1.29332E-003
  D        0.00306      1.00000    9.48429E-004    0.00000E+000
  D        0.00333      0.00000    1.05343E-003    3.20634E-002
  D        0.00333      0.02500    1.00138E-003    3.07947E-002
  D        0.00333      0.07500    1.00001E-003    2.92302E-002
  D        0.00333      0.12500    1.00000E-003    2.76788E-002
  D        0.00333      0.17500    1.00000E-003    2.61276E-002
  D        0.00333      0.22500    1.00000E-003    2.45763E-002
  D        0.00333      0.27500    1.00000E-003    2.30251E-002
  D        0.00333      0.32500    1.00000E-003    2.14738E-002
  D        0.00333      0.37500    1.00000E-003    1.99226E-002
  D        0.00333      0.42500    1.00000E-003    1.83713E-002
  D        0.00333      0.47500    1.00000E-003    1.68201E-002
  D        0.00333      0.52500    1.00000E-003    1.52688E-002
  D        0.00333      0.57500    1.00000E-003    1.37176E-002
  D        0.00333      0.62500    1.00000E-003    1.21663E-002
  D        0.00333      0.67500    1.00000E-003    1.06151E-002
  D        0.00333      0.72500    1.00000E-003    9.06383E-003
  D        0.00333      0.77500    1.00000E-003    7.51258E-003
  D        0.00333      0.82500    1.00000E-003    5.96133E-003
  D        0.00333      0.87500    1.00000E-003    4.41008E-003
  D        0.00333      0.92500    9.99990E-004    2.85873E-003
  D        0.00333      0.97500    9.98617E-004    1.29338E-003
  D        0.00333      1.00000    9.48318E-004    0.00000E+000
  D        0.00361      0.00000    1.05355E-003    3.20657E-002
  D        0.00361      0.02500    1.00150E-003    3.07970E-002
  D        0.00361      0.07500    1.00001E-003    2.92314E-002
  D        0.00361      0.12500    1.00000E-003    2.76800E-002
  D        0.00361      0.17500    1.00000E-003    2.61288E-002
  D        0.00361      0.22500    1.00000E-003    2.45775E-002
  D        0.00361      0.27500    1.00000E-003    2.30263E-002
  D        0.00361      0.32500    1.00000E-003    2.14750E-002
  D        0.00361      0.37500    1.00000E-003    1.99238E-002
  D        0.00361      0.42500    1.00000E-003    1.83726E-002
  D        0.00361      0.47500    1.00000E-003    1.68213E-002
  D        0.00361      0.52500    1.00000E-003    1.52701E-002
  D        0.00361      0.57500    1.00000E-003    1.37188E-002
  D        0.00361      0.62500    1.00000E-003    1.21676E-002
  D        0.00361      0.67500    1.00000E-003    1.06163E-002
  D        0.00361      0.72500    1.00000E-003    9.06506E-003
  D        0.00361      0.77500    1.00000E-003    7.51381E-003
  D        0.00361      0.82500    1.00000E-003    5.96256E-003
  D        0.00361      0.87500    1.00000E-003    4.41132E-003
  D        0.00361      0.92500    9.99988E-004    2.85994E-003
  D        0.00361      0.97500    9.98503E-004    1.29344E-003
  D        0.00361      1.00000    9.48208E-004    0.00000E+000
  D        0.00389      0.00000    1.05367E-003    3.20680E-002
  D        0.00389      0.02500    1.00161E-003    3.07993E-002
  D        0.00389      0.07500    1.00001E-003    2.92327E-002
  D        0.00389      0.12500    1.00000E-003    2.76813E-002
  D        0.00389      0.17500    1.00000E-003    2.61300E-002
  D        0.00389      0.22500    1.00000E-003    2.45788E-002
  D        0.00389      0.27500    1.00000E-003    2.30275E-002
  D        0.00389      0.32500    1.00000E-003    2.14763E-002
  D        0.00389      0.37500    1.00000E-003    1.99250E-002
  D        0.00389      0.42500    1.00000E-003    1.83738E-002
