        Time         Position             C_O2             C_OH             C_Na             C_Cl              Phi         Velocity
       hours               cm          mol/cm3          mol/cm3          mol/cm3          mol/cm3            Volts             cm/s
     0.55556   2.78000000E+00   2.00000000E-07   3.58845718E-12   1.00000000E-03   9.99999998E-04  -1.62565640E-05  -2.31852000E+01
     0.55556   2.82000000E+00   2.00000000E-07   2.24570865E-12   1.00000000E-03   9.99999999E-04  -1.57147109E-05  -2.38572000E+01
     0.55556   2.86000000E+00   2.00000000E-07   1.38325796E-12   1.00000000E-03   9.99999999E-04  -1.51728451E-05  -2.45388000E+01
     0.55556   2.90000000E+00   2.00000000E-07   8.38181416E-13   1.00000000E-03   9.99999999E-04  -1.46309709E-05  -2.52300000E+01
     0.55556   2.94000000E+00   2.00000000E-07   4.99378522E-13   1.00000000E-03   1.00000000E-03  -1.40890913E-05  -2.59308000E+01
     0.55556   2.98000000E+00   2.00000000E-07   2.92375429E-13   1.00000000E-03   1.00000000E-03  -1.35472081E-05  -2.66412000E+01
     0.55556   3.02000000E+00   2.00000000E-07   1.68121351E-13   1.00000000E-03   1.00000000E-03  -1.30053228E-05  -2.73612000E+01
     0.55556   3.06000000E+00   2.00000000E-07   9.48891389E-14   1.00000000E-03   1.00000000E-03  -1.24634361E-05  -2.80908000E+01
     0.55556   3.10000000E+00   2.00000000E-07   5.25352057E-14   1.00000000E-03   1.00000000E-03  -1.19215486E-05  -2.88300000E+01
     0.55556   3.14000000E+00   2.00000000E-07   2.85128358E-14   1.00000000E-03   1.00000000E-03  -1.13796606E-05  -2.95788000E+01
     0.55556   3.18000000E+00   2.00000000E-07   1.51596179E-14   1.00000000E-03   1.00000000E-03  -1.08377723E-05  -3.03372000E+01
     0.55556   3.22000000E+00   2.00000000E-07   7.89006774E-15   1.00000000E-03   1.00000000E-03  -1.02958839E-05  -3.11052000E+01
     0.55556   3.26000000E+00   2.00000000E-07   4.01687489E-15   1.00000000E-03   1.00000000E-03  -9.75399532E-06  -3.18828000E+01
     0.55556   3.30000000E+00   2.00000000E-07   1.99877427E-15   1.00000000E-03   1.00000000E-03  -9.21210674E-06  -3.26700000E+01
     0.55556   3.34000000E+00   2.00000000E-07   9.71271384E-16   1.00000000E-03   1.00000000E-03  -8.67021813E-06  -3.34668000E+01
     0.55556   3.38000000E+00   2.00000000E-07   4.60501849E-16   1.00000000E-03   1.00000000E-03  -8.12832951E-06  -3.42732000E+01
     0.55556   3.42000000E+00   2.00000000E-07   2.12826497E-16   1.00000000E-03   1.00000000E-03  -7.58644088E-06  -3.50892000E+01
     0.55556   3.46000000E+00   2.00000000E-07   9.57828953E-17   1.00000000E-03   1.00000000E-03  -7.04455225E-06  -3.59148000E+01
     0.55556   3.50000000E+00   2.00000000E-07   4.19328921E-17   1.00000000E-03   1.00000000E-03  -6.50266362E-06  -3.67500000E+01
     0.55556   3.54000000E+00   2.00000000E-07   1.78374215E-17   1.00000000E-03   1.00000000E-03  -5.96077498E-06  -3.75948000E+01
     0.55556   3.58000000E+00   2.00000000E-07   7.36361062E-18   1.00000000E-03   1.00000000E-03  -5.41888635E-06  -3.84492000E+01
     0.55556   3.62000000E+00   2.00000000E-07   2.94619725E-18   1.00000000E-03   1.00000000E-03  -4.87699771E-06  -3.93132000E+01
     0.55556   3.66000000E+00   2.00000000E-07   1.14084324E-18   1.00000000E-03   1.00000000E-03  -4.33510908E-06  -4.01868000E+01
