  Iters          DeltaV        Position            Conc           Phi_1           i_rxn
    ###           Volts              cm           mol/L           Volts           A/cm2
 144750     2.10000E-02     6.87500E-01     9.25438E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     7.12500E-01     9.16717E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     7.37500E-01     9.08075E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     7.62500E-01     8.99512E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     7.87500E-01     8.91024E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     8.12500E-01     8.82611E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     8.37500E-01     8.74272E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     8.62500E-01     8.66005E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     8.87500E-01     8.57809E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     9.12500E-01     8.49682E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     9.37500E-01     8.41624E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     9.62500E-01     8.33633E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     9.87500E-01     8.25708E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     1.00000E+00     8.21778E-01    -1.14870E-02     1.24765E-04
 155074     3.10000E-02     0.00000E+00     1.31444E+00     1.33711E-02     1.84215E-04
 155074     3.10000E-02     1.25000E-02     1.30459E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     3.75000E-02     1.28528E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     6.25000E-02     1.26637E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     8.75000E-02     1.24784E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     1.12500E-01     1.22967E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     1.37500E-01     1.21185E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     1.62500E-01     1.19437E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     1.87500E-01     1.17721E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     2.12500E-01     1.16036E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     2.37500E-01     1.14382E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     2.62500E-01     1.12756E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     2.87500E-01     1.11159E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     3.12500E-01     1.09588E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     3.37500E-01     1.08044E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     3.62500E-01     1.06525E+00     0.00000E+00     1.84215E-04
 155074     3.10000E-02     3.87500E-01     1.05031E+00     0.00000E+00     1.84215E-04
