        Time         Position             x_O2             x_OH             x_Na             x_Cl            x_H2O          Flux_O2          Flux_OH          Flux_Na          Flux_Cl         Flux_H2O
       hours               ξ                                                                                                                                                                          
     0.00000   1.92000000E-01   1.72972973E-07   3.43063063E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.96000000E-01   1.76576577E-07   3.42702703E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.00000000E-01   1.80180180E-07   3.42342342E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.04000000E-01   1.83783784E-07   3.41981982E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.08000000E-01   1.87387387E-07   3.41621622E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.12000000E-01   1.90990991E-07   3.41261261E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.16000000E-01   1.94594595E-07   3.40900901E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.20000000E-01   1.98198198E-07   3.40540541E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.24000000E-01   2.01801802E-07   3.40180180E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.28000000E-01   2.05405405E-07   3.39819820E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.32000000E-01   2.09009009E-07   3.39459459E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.36000000E-01   2.12612613E-07   3.39099099E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.40000000E-01   2.16216216E-07   3.38738739E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.44000000E-01   2.19819820E-07   3.38378378E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.48000000E-01   2.23423423E-07   3.38018018E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.52000000E-01   2.27027027E-07   3.37657658E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.56000000E-01   2.30630631E-07   3.37297297E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.60000000E-01   2.34234234E-07   3.36936937E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.64000000E-01   2.37837838E-07   3.36576577E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.68000000E-01   2.41441441E-07   3.36216216E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.72000000E-01   2.45045045E-07   3.35855856E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.76000000E-01   2.48648649E-07   3.35495495E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.80000000E-01   2.52252252E-07   3.35135135E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.84000000E-01   2.55855856E-07   3.34774775E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.88000000E-01   2.59459459E-07   3.34414414E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.92000000E-01   2.63063063E-07   3.34054054E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.96000000E-01   2.66666667E-07   3.33693694E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.00000000E-01   2.70270270E-07   3.33333333E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.04000000E-01   2.73873874E-07   3.32972973E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.08000000E-01   2.77477477E-07   3.32612613E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
