        Time     Position          Conc_0          Conc_x
       hours           um           mol/L           mol/L
     0.50000      0.41250     8.48424E-01     1.51576E-01
     0.50000      0.43750     8.48103E-01     1.51897E-01
     0.50000      0.46250     8.47884E-01     1.52116E-01
     0.50000      0.48750     8.47738E-01     1.52262E-01
     0.50000      0.51250     8.47641E-01     1.52359E-01
     0.50000      0.53750     8.47577E-01     1.52423E-01
     0.50000      0.56250     8.47537E-01     1.52463E-01
     0.50000      0.58750     8.47511E-01     1.52489E-01
     0.50000      0.61250     8.47494E-01     1.52506E-01
     0.50000      0.63750     8.47484E-01     1.52516E-01
     0.50000      0.66250     8.47478E-01     1.52522E-01
     0.50000      0.68750     8.47475E-01     1.52525E-01
     0.50000      0.71250     8.47472E-01     1.52528E-01
     0.50000      0.73750     8.47471E-01     1.52529E-01
     0.50000      0.76250     8.47470E-01     1.52530E-01
     0.50000      0.78750     8.47470E-01     1.52530E-01
     0.50000      0.81250     8.47470E-01     1.52530E-01
     0.50000      0.83750     8.47470E-01     1.52530E-01
     0.50000      0.86250     8.47470E-01     1.52530E-01
     0.50000      0.88750     8.47470E-01     1.52530E-01
     0.50000      0.91250     8.47470E-01     1.52530E-01
     0.50000      0.93750     8.47470E-01     1.52530E-01
     0.50000      0.96250     8.47470E-01     1.52530E-01
     0.50000      0.98750     8.47470E-01     1.52530E-01
     0.50000      1.00000     8.47470E-01     1.52530E-01
     0.60000      0.00000     1.00000E+00     0.00000E+00
     0.60000      0.01250     9.81861E-01     1.81390E-02
     0.60000      0.03750     9.51407E-01     4.85930E-02
     0.60000      0.06250     9.26009E-01     7.39907E-02
     0.60000      0.08750     9.04978E-01     9.50218E-02
     0.60000      0.11250     8.87694E-01     1.12306E-01
     0.60000      0.13750     8.73604E-01     1.26396E-01
     0.60000      0.16250     8.62213E-01     1.37787E-01
     0.60000      0.18750     8.53084E-01     1.46916E-01
     0.60000      0.21250     8.45836E-01     1.54164E-01
     0.60000      0.23750     8.40134E-01     1.59866E-01
     0.60000      0.26250     8.35692E-01     1.64308E-01
     0.60000      0.28750     8.32267E-01     1.67733E-01
     0.60000      0.31250     8.29651E-01     1.70349E-01
     0.60000      0.33750     8.27674E-01     1.72326E-01
     0.60000      0.36250     8.26196E-01     1.73804E-01
     0.60000      0.38750     8.25103E-01     1.74897E-01
     0.60000      0.41250     8.24303E-01     1.75697E-01
     0.60000      0.43750     8.23724E-01     1.76276E-01
     0.60000      0.46250     8.23310E-01     1.76690E-01
     0.60000      0.48750     8.23016E-01     1.76984E-01
     0.60000      0.51250     8.22811E-01     1.77189E-01
     0.60000      0.53750     8.22669E-01     1.77331E-01
     0.60000      0.56250     8.22572E-01     1.77428E-01
     0.60000      0.58750     8.22506E-01     1.77494E-01
     0.60000      0.61250     8.22462E-01     1.77538E-01
     0.60000      0.63750     8.22433E-01     1.77567E-01
     0.60000      0.66250     8.22414E-01     1.77586E-01
     0.60000      0.68750     8.22402E-01     1.77598E-01
     0.60000      0.71250     8.22394E-01     1.77606E-01
     0.60000      0.73750     8.22389E-01     1.77611E-01
     0.60000      0.76250     8.22386E-01     1.77614E-01
     0.60000      0.78750     8.22384E-01     1.77616E-01
     0.60000      0.81250     8.22383E-01     1.77617E-01
     0.60000      0.83750     8.22383E-01     1.77617E-01
     0.60000      0.86250     8.22382E-01     1.77618E-01
     0.60000      0.88750     8.22382E-01     1.77618E-01
     0.60000      0.91250     8.22382E-01     1.77618E-01
     0.60000      0.93750     8.22382E-01     1.77618E-01
     0.60000      0.96250     8.22382E-01     1.77618E-01
     0.60000      0.98750     8.22382E-01     1.77618E-01
     0.60000      1.00000     8.22382E-01     1.77618E-01
     0.70000      0.00000     1.00000E+00     0.00000E+00
     0.70000      0.01250     9.80780E-01     1.92197E-02
     0.70000      0.03750     9.48178E-01     5.18221E-02
     0.70000      0.06250     9.20671E-01     7.93289E-02
     0.70000      0.08750     8.97596E-01     1.02404E-01
     0.70000      0.11250     8.78358E-01     1.21642E-01
     0.70000      0.13750     8.62423E-01     1.37577E-01
     0.70000      0.16250     8.49316E-01     1.50684E-01
     0.70000      0.18750     8.38612E-01     1.61388E-01
     0.70000      0.21250     8.29937E-01     1.70063E-01
     0.70000      0.23750     8.22960E-01     1.77040E-01
     0.70000      0.26250     8.17395E-01     1.82605E-01
     0.70000      0.28750     8.12993E-01     1.87007E-01
     0.70000      0.31250     8.09540E-01     1.90460E-01
     0.70000      0.33750     8.06854E-01     1.93146E-01
     0.70000      0.36250     8.04785E-01     1.95215E-01
     0.70000      0.38750     8.03204E-01     1.96796E-01
     0.70000      0.41250     8.02007E-01     1.97993E-01
     0.70000      0.43750     8.01110E-01     1.98890E-01
     0.70000      0.46250     8.00443E-01     1.99557E-01
     0.70000      0.48750     7.99953E-01     2.00047E-01
     0.70000      0.51250     7.99596E-01     2.00404E-01
     0.70000      0.53750     7.99338E-01     2.00662E-01
     0.70000      0.56250     7.99153E-01     2.00847E-01
     0.70000      0.58750     7.99023E-01     2.00977E-01
     0.70000      0.61250     7.98931E-01     2.01069E-01
     0.70000      0.63750     7.98868E-01     2.01132E-01
     0.70000      0.66250     7.98824E-01     2.01176E-01
     0.70000      0.68750     7.98794E-01     2.01206E-01
     0.70000      0.71250     7.98774E-01     2.01226E-01
     0.70000      0.73750     7.98761E-01     2.01239E-01
     0.70000      0.76250     7.98752E-01     2.01248E-01
     0.70000      0.78750     7.98746E-01     2.01254E-01
     0.70000      0.81250     7.98743E-01     2.01257E-01
     0.70000      0.83750     7.98740E-01     2.01260E-01
     0.70000      0.86250     7.98739E-01     2.01261E-01
     0.70000      0.88750     7.98738E-01     2.01262E-01
     0.70000      0.91250     7.98737E-01     2.01263E-01
     0.70000      0.93750     7.98737E-01     2.01263E-01
     0.70000      0.96250     7.98737E-01     2.01263E-01
     0.70000      0.98750     7.98737E-01     2.01263E-01
     0.70000      1.00000     7.98737E-01     2.01263E-01
     0.80000      0.00000     1.00000E+00     0.00000E+00
     0.80000      0.01250     9.79834E-01     2.01658E-02
     0.80000      0.03750     9.45349E-01     5.46510E-02
     0.80000      0.06250     9.15988E-01     8.40118E-02
     0.80000      0.08750     8.91107E-01     1.08893E-01
     0.80000      0.11250     8.70131E-01     1.29869E-01
     0.80000      0.13750     8.52541E-01     1.47459E-01
     0.80000      0.16250     8.37878E-01     1.62122E-01
     0.80000      0.18750     8.25727E-01     1.74273E-01
     0.80000      0.21250     8.15724E-01     1.84276E-01
     0.80000      0.23750     8.07542E-01     1.92458E-01
     0.80000      0.26250     8.00896E-01     1.99104E-01
     0.80000      0.28750     7.95535E-01     2.04465E-01
